,Year,Province,Cities,City_ID,Violation,Violation_ID,Statistics,Crime_rate
572,2013, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate per 100,000 population",1.08
573,2014, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate per 100,000 population",0.84
574,2015, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate per 100,000 population",0.61
575,2016, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate per 100,000 population",2.0
576,2017, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate per 100,000 population",1.09
577,2018, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate per 100,000 population",1.49
578,2019, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate per 100,000 population",1.11
579,2020, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate per 100,000 population",1.16
580,2021, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate per 100,000 population",1.25
581,2022, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate per 100,000 population",1.16
582,2023, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate per 100,000 population",1.44
671,2013, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, total persons charged per 100,000 population aged 12 years and over",0.71
672,2014, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, total persons charged per 100,000 population aged 12 years and over",0.97
673,2015, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, total persons charged per 100,000 population aged 12 years and over",1.14
674,2016, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, total persons charged per 100,000 population aged 12 years and over",1.71
675,2017, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, total persons charged per 100,000 population aged 12 years and over",1.17
676,2018, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, total persons charged per 100,000 population aged 12 years and over",1.56
677,2019, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, total persons charged per 100,000 population aged 12 years and over",1.2
678,2020, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, total persons charged per 100,000 population aged 12 years and over",1.65
679,2021, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, total persons charged per 100,000 population aged 12 years and over",1.06
680,2022, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, total persons charged per 100,000 population aged 12 years and over",1.26
681,2023, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, total persons charged per 100,000 population aged 12 years and over",1.86
693,2013, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, adult charged per 100,000 population aged 18 years and over",0.78
694,2014, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, adult charged per 100,000 population aged 18 years and over",1.06
695,2015, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, adult charged per 100,000 population aged 18 years and over",1.24
696,2016, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, adult charged per 100,000 population aged 18 years and over",1.85
697,2017, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, adult charged per 100,000 population aged 18 years and over",1.0
698,2018, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, adult charged per 100,000 population aged 18 years and over",1.69
699,2019, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, adult charged per 100,000 population aged 18 years and over",1.31
700,2020, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, adult charged per 100,000 population aged 18 years and over",1.62
701,2021, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, adult charged per 100,000 population aged 18 years and over",1.06
702,2022, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, adult charged per 100,000 population aged 18 years and over",1.28
703,2023, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, adult charged per 100,000 population aged 18 years and over",1.79
715,2013, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, youth charged per 100,000 population aged 12 to 17 years",0.0
716,2014, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, youth charged per 100,000 population aged 12 to 17 years",0.0
717,2015, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, youth charged per 100,000 population aged 12 to 17 years",0.0
718,2016, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, youth charged per 100,000 population aged 12 to 17 years",0.0
