ID,Year,Province,Cities,City_ID,Violation,Violation_ID,Statistics,Crime_rate,location_year
572,2013, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate per 100,000 population",1.08,2013_Ottawa-Gatineau
573,2014, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate per 100,000 population",0.84,2014_Ottawa-Gatineau
574,2015, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate per 100,000 population",0.61,2015_Ottawa-Gatineau
575,2016, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate per 100,000 population",2.0,2016_Ottawa-Gatineau
576,2017, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate per 100,000 population",1.09,2017_Ottawa-Gatineau
577,2018, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate per 100,000 population",1.49,2018_Ottawa-Gatineau
578,2019, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate per 100,000 population",1.11,2019_Ottawa-Gatineau
579,2020, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate per 100,000 population",1.16,2020_Ottawa-Gatineau
580,2021, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate per 100,000 population",1.25,2021_Ottawa-Gatineau
581,2022, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate per 100,000 population",1.16,2022_Ottawa-Gatineau
582,2023, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate per 100,000 population",1.44,2023_Ottawa-Gatineau
671,2013, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, total persons charged per 100,000 population aged 12 years and over",0.71,2013_Ottawa-Gatineau
672,2014, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, total persons charged per 100,000 population aged 12 years and over",0.97,2014_Ottawa-Gatineau
673,2015, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, total persons charged per 100,000 population aged 12 years and over",1.14,2015_Ottawa-Gatineau
674,2016, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, total persons charged per 100,000 population aged 12 years and over",1.71,2016_Ottawa-Gatineau
675,2017, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, total persons charged per 100,000 population aged 12 years and over",1.17,2017_Ottawa-Gatineau
676,2018, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, total persons charged per 100,000 population aged 12 years and over",1.56,2018_Ottawa-Gatineau
677,2019, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, total persons charged per 100,000 population aged 12 years and over",1.2,2019_Ottawa-Gatineau
678,2020, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, total persons charged per 100,000 population aged 12 years and over",1.65,2020_Ottawa-Gatineau
679,2021, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, total persons charged per 100,000 population aged 12 years and over",1.06,2021_Ottawa-Gatineau
680,2022, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, total persons charged per 100,000 population aged 12 years and over",1.26,2022_Ottawa-Gatineau
681,2023, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, total persons charged per 100,000 population aged 12 years and over",1.86,2023_Ottawa-Gatineau
693,2013, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, adult charged per 100,000 population aged 18 years and over",0.78,2013_Ottawa-Gatineau
694,2014, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, adult charged per 100,000 population aged 18 years and over",1.06,2014_Ottawa-Gatineau
695,2015, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, adult charged per 100,000 population aged 18 years and over",1.24,2015_Ottawa-Gatineau
696,2016, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, adult charged per 100,000 population aged 18 years and over",1.85,2016_Ottawa-Gatineau
697,2017, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, adult charged per 100,000 population aged 18 years and over",1.0,2017_Ottawa-Gatineau
698,2018, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, adult charged per 100,000 population aged 18 years and over",1.69,2018_Ottawa-Gatineau
699,2019, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, adult charged per 100,000 population aged 18 years and over",1.31,2019_Ottawa-Gatineau
700,2020, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, adult charged per 100,000 population aged 18 years and over",1.62,2020_Ottawa-Gatineau
701,2021, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, adult charged per 100,000 population aged 18 years and over",1.06,2021_Ottawa-Gatineau
702,2022, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, adult charged per 100,000 population aged 18 years and over",1.28,2022_Ottawa-Gatineau
703,2023, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, adult charged per 100,000 population aged 18 years and over",1.79,2023_Ottawa-Gatineau
715,2013, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, youth charged per 100,000 population aged 12 to 17 years",0.0,2013_Ottawa-Gatineau
716,2014, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, youth charged per 100,000 population aged 12 to 17 years",0.0,2014_Ottawa-Gatineau
717,2015, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, youth charged per 100,000 population aged 12 to 17 years",0.0,2015_Ottawa-Gatineau
718,2016, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, youth charged per 100,000 population aged 12 to 17 years",0.0,2016_Ottawa-Gatineau
719,2017, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, youth charged per 100,000 population aged 12 to 17 years",3.23,2017_Ottawa-Gatineau
720,2018, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, youth charged per 100,000 population aged 12 to 17 years",0.0,2018_Ottawa-Gatineau
721,2019, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, youth charged per 100,000 population aged 12 to 17 years",0.0,2019_Ottawa-Gatineau
722,2020, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, youth charged per 100,000 population aged 12 to 17 years",2.0,2020_Ottawa-Gatineau
723,2021, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, youth charged per 100,000 population aged 12 to 17 years",0.95,2021_Ottawa-Gatineau
724,2022, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, youth charged per 100,000 population aged 12 to 17 years",0.93,2022_Ottawa-Gatineau
725,2023, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, youth charged per 100,000 population aged 12 to 17 years",2.71,2023_Ottawa-Gatineau
737,2013, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, youth not charged per 100,000 population aged 12 to 17 years",0.0,2013_Ottawa-Gatineau
738,2014, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, youth not charged per 100,000 population aged 12 to 17 years",0.0,2014_Ottawa-Gatineau
739,2015, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, youth not charged per 100,000 population aged 12 to 17 years",0.0,2015_Ottawa-Gatineau
740,2016, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, youth not charged per 100,000 population aged 12 to 17 years",0.0,2016_Ottawa-Gatineau
741,2017, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, youth not charged per 100,000 population aged 12 to 17 years",0.0,2017_Ottawa-Gatineau
742,2018, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, youth not charged per 100,000 population aged 12 to 17 years",0.0,2018_Ottawa-Gatineau
743,2019, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, youth not charged per 100,000 population aged 12 to 17 years",0.0,2019_Ottawa-Gatineau
744,2020, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, youth not charged per 100,000 population aged 12 to 17 years",0.0,2020_Ottawa-Gatineau
745,2021, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, youth not charged per 100,000 population aged 12 to 17 years",0.0,2021_Ottawa-Gatineau
746,2022, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, youth not charged per 100,000 population aged 12 to 17 years",0.0,2022_Ottawa-Gatineau
747,2023, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Homicide ,110,"Rate, youth not charged per 100,000 population aged 12 to 17 years",0.0,2023_Ottawa-Gatineau
946,2013, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate per 100,000 population",1.47,2013_Ottawa-Gatineau
947,2014, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate per 100,000 population",1.38,2014_Ottawa-Gatineau
948,2015, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate per 100,000 population",1.37,2015_Ottawa-Gatineau
949,2016, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate per 100,000 population",1.41,2016_Ottawa-Gatineau
950,2017, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate per 100,000 population",1.6,2017_Ottawa-Gatineau
951,2018, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate per 100,000 population",1.71,2018_Ottawa-Gatineau
952,2019, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate per 100,000 population",0.98,2019_Ottawa-Gatineau
953,2020, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate per 100,000 population",0.89,2020_Ottawa-Gatineau
954,2021, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate per 100,000 population",1.9,2021_Ottawa-Gatineau
955,2022, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate per 100,000 population",1.74,2022_Ottawa-Gatineau
956,2023, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate per 100,000 population",1.57,2023_Ottawa-Gatineau
1045,2013, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, total persons charged per 100,000 population aged 12 years and over",1.61,2013_Ottawa-Gatineau
1046,2014, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, total persons charged per 100,000 population aged 12 years and over",0.8,2014_Ottawa-Gatineau
1047,2015, Ontario/Quebec ,Ottawa-Gatineau,24505/35505,Attempted murder ,1210,"Rate, total persons charged per 100,000 population aged 12 years and over",1.5,2015_Ottawa-Gatineau
