,Year,Province,Cities
561,2013, Ontario/Quebec ,Ottawa-Gatineau
562,2014, Ontario/Quebec ,Ottawa-Gatineau
563,2015, Ontario/Quebec ,Ottawa-Gatineau
564,2016, Ontario/Quebec ,Ottawa-Gatineau
565,2017, Ontario/Quebec ,Ottawa-Gatineau
566,2018, Ontario/Quebec ,Ottawa-Gatineau
567,2019, Ontario/Quebec ,Ottawa-Gatineau
568,2020, Ontario/Quebec ,Ottawa-Gatineau
569,2021, Ontario/Quebec ,Ottawa-Gatineau
570,2022, Ontario/Quebec ,Ottawa-Gatineau
571,2023, Ontario/Quebec ,Ottawa-Gatineau
605,2013, Ontario/Quebec ,Ottawa-Gatineau
606,2014, Ontario/Quebec ,Ottawa-Gatineau
607,2015, Ontario/Quebec ,Ottawa-Gatineau
608,2016, Ontario/Quebec ,Ottawa-Gatineau
609,2017, Ontario/Quebec ,Ottawa-Gatineau
610,2018, Ontario/Quebec ,Ottawa-Gatineau
611,2019, Ontario/Quebec ,Ottawa-Gatineau
612,2020, Ontario/Quebec ,Ottawa-Gatineau
613,2021, Ontario/Quebec ,Ottawa-Gatineau
614,2022, Ontario/Quebec ,Ottawa-Gatineau
615,2023, Ontario/Quebec ,Ottawa-Gatineau
627,2013, Ontario/Quebec ,Ottawa-Gatineau
628,2014, Ontario/Quebec ,Ottawa-Gatineau
629,2015, Ontario/Quebec ,Ottawa-Gatineau
630,2016, Ontario/Quebec ,Ottawa-Gatineau
631,2017, Ontario/Quebec ,Ottawa-Gatineau
632,2018, Ontario/Quebec ,Ottawa-Gatineau
633,2019, Ontario/Quebec ,Ottawa-Gatineau
634,2020, Ontario/Quebec ,Ottawa-Gatineau
635,2021, Ontario/Quebec ,Ottawa-Gatineau
636,2022, Ontario/Quebec ,Ottawa-Gatineau
637,2023, Ontario/Quebec ,Ottawa-Gatineau
638,2013, Ontario/Quebec ,Ottawa-Gatineau
639,2014, Ontario/Quebec ,Ottawa-Gatineau
640,2015, Ontario/Quebec ,Ottawa-Gatineau
641,2016, Ontario/Quebec ,Ottawa-Gatineau
642,2017, Ontario/Quebec ,Ottawa-Gatineau
643,2018, Ontario/Quebec ,Ottawa-Gatineau
644,2019, Ontario/Quebec ,Ottawa-Gatineau
645,2020, Ontario/Quebec ,Ottawa-Gatineau
646,2021, Ontario/Quebec ,Ottawa-Gatineau
647,2022, Ontario/Quebec ,Ottawa-Gatineau
648,2023, Ontario/Quebec ,Ottawa-Gatineau
649,2013, Ontario/Quebec ,Ottawa-Gatineau
650,2014, Ontario/Quebec ,Ottawa-Gatineau
651,2015, Ontario/Quebec ,Ottawa-Gatineau
652,2016, Ontario/Quebec ,Ottawa-Gatineau
653,2017, Ontario/Quebec ,Ottawa-Gatineau
654,2018, Ontario/Quebec ,Ottawa-Gatineau
655,2019, Ontario/Quebec ,Ottawa-Gatineau
656,2020, Ontario/Quebec ,Ottawa-Gatineau
657,2021, Ontario/Quebec ,Ottawa-Gatineau
658,2022, Ontario/Quebec ,Ottawa-Gatineau
659,2023, Ontario/Quebec ,Ottawa-Gatineau
660,2013, Ontario/Quebec ,Ottawa-Gatineau
661,2014, Ontario/Quebec ,Ottawa-Gatineau
662,2015, Ontario/Quebec ,Ottawa-Gatineau
663,2016, Ontario/Quebec ,Ottawa-Gatineau
664,2017, Ontario/Quebec ,Ottawa-Gatineau
665,2018, Ontario/Quebec ,Ottawa-Gatineau
